"Features","Importance","Gene_Symbol"
"209534_x_at",0.000437966971449961,"AKAP13"
"231101_at",0.000437854569745264,NA
"1555058_a_at",0.000436081641888313,"LPGAT1"
"210534_s_at",0.000431230538709858,"B9D1"
"233064_at",0.000430608152244381,"ZFR2"
"203466_at",0.000428552780764585,"MPV17"
"208655_at",0.000426712954623522,"CCNI"
"207036_x_at",0.000423187054566283,"GRIN2D"
"204923_at",0.000422017347579567,"SASH3"
"216023_at",0.000420687473358482,"KDM4B"
"218071_s_at",0.00041819613871221,"MKRN2"
"207968_s_at",0.000416472011289577,"MEF2C"
"226899_at",0.000411609900246437,"UNC5B"
"235556_at",0.000409429750238764,"CREBRF"
"230371_at",0.000408996790127255,"HPS6"
"244780_at",0.000408619775474128,"SGPP2"
"223978_s_at",0.000408601465458898,"CRLS1"
"204387_x_at",0.000406122498751803,"MRPL57"
"204218_at",0.00040588458347263,"ANAPC15"
"36030_at",0.000403809431111046,"IFFO1"
"239971_at",0.000399937169733622,NA
"201429_s_at",0.000399892034310189,"RPL37A"
"233575_s_at",0.000399711091854053,"TLE4"
"1561489_at",0.000398924427302037,NA
"223054_at",0.000398802923592243,"DNAJB11"
"223962_at",0.000398535252597719,"TTC29"
"223752_at",0.000396441398010539,"CFC1"
"210099_at",0.000394007574027254,"ABCA2"
"1556779_s_at",0.000393539673563054,NA
"1557566_at",0.000392914688820634,"LOC100507634"
"218430_s_at",0.000392660588181982,"RFX7"
"231120_x_at",0.000389670529303546,"PKIB"
"1569926_s_at",0.000389545422776769,"SLC34A3"
"208768_x_at",0.000389104974846733,"RPL22"
"1568732_at",0.000388620104796314,NA
"240044_x_at",0.000386585781241575,"TNRC6B"
"1568592_at",0.000386112719881634,NA
"215680_at",0.000381922571802651,NA
"218035_s_at",0.000381774084396962,"RBM47"
"237648_x_at",0.000381547525577919,NA
"210346_s_at",0.00038137827038703,"CLK4"
"203365_s_at",0.000377970774556637,"MMP15"
"238305_at",0.000375762298756897,NA
"242276_at",0.000375310272060613,NA
"1554667_s_at",0.000374848822332355,"METTL8"
"240789_at",0.000374102778223348,NA
"225124_at",0.000373302310556161,"PPP1R9B"
"226625_at",0.000372205157317889,"TGFBR3"
"225178_at",0.000366996341807522,"TTC14"
"225391_at",0.000366486730316468,"LOC93622"
"223627_at",0.000365692427243422,"MEX3B"
"206133_at",0.000364356718833621,"XAF1"
"212161_at",0.000362919583640694,"AP2A2"
"51176_at",0.000362079364549225,"MED27"
"218213_s_at",0.00036139912357182,"TMEM258"
"235933_at",0.000359367117740641,NA
"205427_at",0.000358214683625211,"ZNF354A"
"229814_at",0.000357175113426731,"TNFAIP8"
"210245_at",0.00035623617067235,"ABCC8"
"230304_at",0.000353767895677337,NA
"200729_s_at",0.000353513872227701,"ACTR2"
"208897_s_at",0.000352819313364385,"DDX18"
